"No.","Time","Source","Destination","Protocol","Length","Info"
"3414","49.780566","192.168.1.26","192.168.1.12","HTTP","171","HEAD /barossa-3-mins.mp4 HTTP/1.1 "
"3418","49.786597","192.168.1.26","192.168.1.12","HTTP","152","HEAD /Kariega-Harvestvale.mp4 HTTP/1.1 "
"3430","49.801654","192.168.1.26","192.168.1.12","HTTP","147","HEAD /Little-Warm-Up.mp4 HTTP/1.1 "
"3454","49.826412","192.168.1.26","192.168.1.12","HTTP","154","HEAD /Kariega-East-One-Hour.mp4 HTTP/1.1 "
"3470","49.847336","192.168.1.26","192.168.1.12","HTTP","154","HEAD /2021-Road-Race-Course.mp4 HTTP/1.1 "
"3488","49.862548","192.168.1.26","192.168.1.12","HTTP","147","HEAD /2021-TT-Course.mp4 HTTP/1.1 "
"3504","49.884309","192.168.1.26","192.168.1.12","HTTP","156","HEAD /Kariega-East-Ride-Three.mp4 HTTP/1.1 "
"3530","49.896851","192.168.1.26","192.168.1.12","HTTP","144","HEAD /River-Lodge.mp4 HTTP/1.1 "
"3542","49.915492","192.168.1.26","192.168.1.12","HTTP","154","HEAD /Kariega-East-Ride-Two.mp4 HTTP/1.1 "
"3556","49.935577","192.168.1.26","192.168.1.12","HTTP","154","HEAD /727-nortonsville-loop.mp4 HTTP/1.1 "
"3567","49.951575","192.168.1.26","192.168.1.12","HTTP","177","HEAD /A-Bit-Of-National-Route-One-Before-The-Hills.mp4 HTTP/1.1 "
"3596","49.967403","192.168.1.26","192.168.1.12","HTTP","164","HEAD /A-Coastal-Escape-From-Edinburgh.mp4 HTTP/1.1 "
"3607","49.990694","192.168.1.26","192.168.1.12","HTTP","161","HEAD /Cruise-Along-The-Yarra-River.mp4 HTTP/1.1 "
"3618","50.004284","192.168.1.26","192.168.1.12","HTTP","151","HEAD /kettlewell-leyburn.mp4 HTTP/1.1 "
"3629","50.019213","192.168.1.26","192.168.1.12","HTTP","142","HEAD /Mt-Lemmon.mp4 HTTP/1.1 "
"3644","50.040704","192.168.1.26","192.168.1.12","HTTP","169","HEAD /Lake-Taupo-Cycle-Challenge-Stage-One.mp4 HTTP/1.1 "
"3658","50.056315","192.168.1.26","192.168.1.12","HTTP","140","HEAD /A610-TT.mp4 HTTP/1.1 "
"3670","50.071562","192.168.1.26","192.168.1.12","HTTP","153","HEAD /AACC-Markleeville-TT.mp4 HTTP/1.1 "
